content,sentiment
membantu sangat,netral
terimakasih,netral
mwantap cek,netral
good,positif
"app ini sangat bermanfaat untuk belajar pemrograman dengan penjelasan mudah dipahami walaupun belum tersedia bahasa Indonesia ditambah adanya tempat untuk interaksi dan berbagi informasi ke pengguna lain yang sangat membantu belajar pemrograman. kekurangan yang saya alami yaitu saat mempelajari coding fundamental yang sudah memuat seluruh course intro to Python namun progress saya tidak langsung terakumulasi ke course intro to Python, sehingga tidak bisa langsung dapat sertifikat intro to Python",netral
seru mudah di pahami,positif
"seruu meski kebanyakan bahasanya pake selain bahasa indonesia, tapi buat yg kemampuan bahasa nya kurang boleh pake bahasa inggris, bahasa inggrisnya cukup mudah dipahami kok",netral
aplikasi terbaik untuk belajar,positif
This application is so very very good 🤭😁,positif
it's good. because there are a course of C++. I'm very like this language.,positif
baikk,netral
ayo coba terus belajar,netral
good,positif
bagus untuk pemula dan pelajar gratisan 🔥🤑,positif
Bagus untuk belajar,netral
good,positif
best,positif
"Thank you for teaching me coding, I am very grateful.",positif
sangat membantu sekali untuk pemula 👍👍👍,netral
"bagus banget untuk pemula, rekomendasi sih bagi yang mau belajar",positif
lumayan bagus aplikasi ini tapi buat deplover aku punya saran tolong tambahkan penerjemahan bahasa Indonesia.,positif
sangat bagus membantu bagi pemula untuk belajar dan memahami coding,positif
"Aku dulu pernah pakai app Sololearn..., sempat akrab dengan mereka² yang sesama mgepen khususnya dijalur obrolan nya. Memang Hebat! Luar biasa app SOLOLEARN 👍❤️🙏,, TAPI saya lupa E.ml. & S.d. untuk masuk lagi. Terima kasih banyak Sololearn",netral
"Bagus tpi tmbah saran klopun yang mode gratis bisa buka salah satu fitur pro dengan nonton iklan. Bgitu buka fitur pro yang lainnya lagi kasih aja video iklan. Biar tetap dapat fund dari iklannya, pasti banyak yang mau kok.",positif
Good,positif
good,positif
Amazing,positif
baguss👍,netral
"Love this app, alhamdulillah 🤍. And.. I wanna give an advice.. I wish Sololearn PRO version could be affordable for students or College student.. Thank you very much",positif
bagus dan membantu,positif
"Saya bisa membuat project php,tapi dimana course untuk php?. I want to learn php. why isn't there one?",positif
"Udh bagus sih dan bisa belajar program language, tapi aplikasinya perlu premium dan fiturnya kayak gk kerasa bagi gw, dan setiap ada soal pilihan a atau b pasti jawabannya b terus ata yg paling bawah, jadi udh tau jawabannya walupun gk ngerti makanannya",positif
